ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Africa,Kenya,10.01,6.29,13.74
Americas,Trinidad and Tobago,10.02,7.44,12.55
Europe,United Kingdom of Great Britain and Northern Ireland,10.06,9.73,10.39
Americas,Grenada,10.08,7.07,13.2
Americas,Brazil,10.09,8.23,12.46
Europe,Denmark,10.12,9.37,10.97
Europe,Russian Federation,10.19,8.58,12.57
Europe,Spain,10.19,9.94,10.38
Americas,Grenada,10.22,7.15,13.37
Americas,Grenada,10.22,7.15,13.37
Americas,Trinidad and Tobago,10.26,7.93,12.59
Europe,France,10.27,10.06,10.49
Americas,Guyana,10.33,5.34,16.66
Europe,Austria,10.34,10,10.76
Europe,Lithuania,10.37,9.29,11.22
Americas,Haiti,10.38,5.52,17.73
Americas,Trinidad and Tobago,10.39,8.17,12.78
Americas,Trinidad and Tobago,10.39,8.24,12.69
Americas,Trinidad and Tobago,10.4,8.09,12.76
Americas,Belize,10.44,4.31,19.96
Americas,Belize,10.44,4.42,20.12
Americas,Belize,10.45,4.57,20.74
Europe,France,10.46,10.27,10.65
Africa,Mauritius,10.48,8.25,12.84
Africa,Mauritius,10.48,8.25,12.88
Europe,Netherlands (Kingdom of the),10.5,10.02,11.03
Americas,Belize,10.51,4.32,20.56
Americas,Belize,10.51,4.33,20.5
Western Pacific,Japan,10.51,9.52,11.45
Africa,Mauritius,10.53,8.19,13.29
Europe,Germany,10.55,10.34,10.78
Europe,Denmark,10.7,10.14,11.47
Europe,Germany,10.73,10.56,10.93
Europe,Netherlands (Kingdom of the),10.74,10.39,11.13
Africa,Namibia,10.81,6.05,17.66
Western Pacific,Japan,10.84,10.02,11.55
Americas,Cuba,10.86,7.46,16.91
Europe,Netherlands (Kingdom of the),10.88,10.53,11.29
Americas,Suriname,10.89,5.69,17.35
Americas,Brazil,10.94,9.37,13.01
Americas,Argentina,11.07,8.82,13.4
Europe,Belgium,11.08,10.51,11.56
Western Pacific,Japan,11.1,10.41,11.76
Americas,Guyana,11.11,5.71,18.35
Africa,Mauritius,11.13,8.68,13.85
Europe,Netherlands (Kingdom of the),11.15,10.85,11.45
Europe,Germany,11.15,10.98,11.36
Americas,Argentina,11.23,8.67,13.86
Europe,Austria,11.24,10.93,11.52
Americas,Guyana,11.25,5.72,18.87
Europe,Belgium,11.26,10.87,11.62
Americas,Brazil,11.26,9.81,13.22
Western Pacific,Japan,11.32,10.67,11.93
Europe,France,11.34,11.14,11.58
Americas,Paraguay,11.46,7.69,18.18
Europe,Austria,11.51,11.2,11.88
Europe,Lithuania,11.52,9.99,13.25
Europe,Latvia,11.55,10.04,13.08
Europe,Belgium,11.57,11.17,11.94
Americas,Panama,11.6,8.58,15.76
Europe,Lithuania,11.67,10.67,12.8
Americas,Guyana,11.7,5.98,19.88
Americas,Brazil,11.75,10.48,13.56
Americas,Panama,11.78,8.46,15.13
Africa,Namibia,11.81,6.32,18.88
Europe,Lithuania,11.83,10.98,12.65
Americas,Panama,11.85,8.33,15.4
Americas,Panama,11.89,8.37,15.14
Europe,Germany,11.92,11.73,12.15
Americas,Argentina,11.97,8.14,16.58
Americas,Guyana,12.01,6.2,20.48
Europe,Latvia,12.02,10.69,13.42
Europe,France,12.03,11.75,12.37
Americas,Argentina,12.04,8.92,15.57
Americas,Panama,12.05,8.88,16.7
Europe,Republic of Moldova,12.06,8.9,15.44
Europe,Ukraine,12.15,9.11,15.73
Americas,Suriname,12.17,6.81,18.69
Europe,Malta,12.21,10.45,14.34
Europe,Romania,12.23,11.49,12.95
Europe,Italy,12.26,12.04,12.53
Europe,Republic of Moldova,12.29,9.06,15.98
Europe,Belgium,12.3,11.95,12.67
Americas,Paraguay,12.31,9.32,17.95
Africa,Kenya,12.33,7.45,17.28
Africa,Zimbabwe,12.34,6.72,21.17
Africa,Namibia,12.34,6.95,19.21
South-East Asia,Maldives,12.34,9.54,16.24
Europe,Republic of Moldova,12.37,9.11,15.99
Europe,Austria,12.42,12.11,12.88
Americas,Paraguay,12.49,9.21,17.81
Africa,Botswana,12.51,8.89,18.39
Africa,Kenya,12.52,7.8,17.78
Africa,Kenya,12.68,8.05,18.19
South-East Asia,Maldives,12.69,10.01,16.48
Europe,Greece,12.7,11.16,14.39
Europe,Republic of Moldova,12.74,9.25,16.78
Americas,Suriname,12.78,7.1,19.85
Eastern Mediterranean,Morocco,12.8,10.03,16.59
Africa,Botswana,12.82,9.27,18.78
Americas,Argentina,12.85,9.05,17.3
Europe,Malta,12.93,11.84,14.32
Americas,Cuba,12.93,8.96,19.52
Europe,Malta,12.94,11.85,14.33
South-East Asia,Maldives,13,10.33,16.7
Europe,Cyprus,13.01,10.88,15.19
Americas,Suriname,13.03,7.35,19.97
Africa,Zimbabwe,13.07,7,22.99
Europe,Malta,13.08,12.05,14.44
Africa,Zimbabwe,13.08,7.05,22.7
Europe,Ukraine,13.12,9.41,18.28
Africa,Namibia,13.13,6.65,22.32
Americas,Colombia,13.14,10.66,16.55
Eastern Mediterranean,Morocco,13.2,10.6,16.87
Americas,Suriname,13.21,7.5,20.06
Americas,Paraguay,13.23,10.04,18.11
Americas,Colombia,13.26,11.25,16.03
Europe,Romania,13.3,12.55,14.1
Americas,Cuba,13.32,9.73,19.28
Western Pacific,Singapore,13.33,10.54,17.56
Western Pacific,Singapore,13.33,10.54,17.56
Western Pacific,Singapore,13.33,10.54,17.56
Europe,Austria,13.33,12.86,14.13
Europe,Belarus,13.41,11.06,15.92
Eastern Mediterranean,Morocco,13.44,11.03,16.52
Europe,Slovenia,13.44,12.49,14.47
Europe,Hungary,13.45,12.46,14.43
Americas,Paraguay,13.5,10.3,18.17
Europe,Ukraine,13.51,10.05,18.45
Eastern Mediterranean,Somalia,13.53,7.9,22.52
Europe,Czechia,13.56,13.06,14.16
Europe,Republic of Moldova,13.63,9.53,18.61
Europe,Romania,13.71,12.46,15.14
Eastern Mediterranean,Morocco,13.73,11.38,16.69
Americas,Jamaica,13.75,11.35,16.37
South-East Asia,Maldives,13.79,10.62,18.3
Americas,Costa Rica,13.87,11.04,17.53
South-East Asia,Maldives,13.88,10.82,18.27
Africa,Botswana,13.9,10.26,19.53
Eastern Mediterranean,Morocco,13.92,11.62,16.64
Americas,Jamaica,13.99,11.78,16.29
Europe,Italy,14.01,13.73,14.29
Africa,Comoros,14.02,7.13,23.62
Americas,Colombia,14.04,11.7,16.76
Africa,Namibia,14.04,6.23,27.66
Europe,Hungary,14.05,13.23,15.16
Europe,Slovenia,14.07,13.3,14.97
Europe,Slovenia,14.08,13.36,14.9
Europe,Romania,14.11,13.21,15.09
Europe,Latvia,14.13,12.75,15.79
Africa,South Africa,14.21,11.93,16.18
Europe,Italy,14.22,13.99,14.44
Americas,Costa Rica,14.23,11.96,17.2
Europe,Hungary,14.24,13.4,15.11
Eastern Mediterranean,Somalia,14.26,7.64,24.24
Eastern Mediterranean,Somalia,14.28,7.65,24.25
Europe,Czechia,14.34,13.96,14.79
Africa,Kenya,14.34,8.17,20.51
Europe,Greece,14.37,12.55,16.23
Africa,Comoros,14.37,7.4,23.58
Africa,Comoros,14.38,7.39,23.6
Eastern Mediterranean,Somalia,14.41,7.17,27.6
Africa,Botswana,14.42,10.54,20.31
Africa,Zimbabwe,14.47,7.16,26.76
Africa,United Republic of Tanzania,14.47,9.87,21.47
Africa,Comoros,14.49,7.48,23.65
Europe,Ukraine,14.51,10.47,20.27
Europe,Cyprus,14.52,12.86,16.16
Europe,Cyprus,14.55,12.83,16.8
Europe,Slovenia,14.6,13.97,15.4
Europe,Romania,14.61,13.94,15.26
Europe,Greece,14.62,13.51,15.76
Europe,Belarus,14.67,12.3,17.24
Americas,Costa Rica,14.7,12.73,17.14
Africa,Comoros,14.71,7.66,23.83
Europe,Italy,14.73,14.48,14.93
Africa,Madagascar,14.73,9.97,21.7
Africa,Eswatini,14.77,10.4,19.62
Africa,Botswana,14.78,10.36,20.8
Europe,Czechia,14.82,14.42,15.22
Americas,Jamaica,14.83,12.5,17.46
Europe,Hungary,14.83,14.04,15.69
Europe,Czechia,14.9,14.5,15.27
Eastern Mediterranean,Somalia,14.92,6.91,29.79
Africa,Zimbabwe,15.01,7.2,28.24
Europe,Czechia,15.03,14.48,15.67
Americas,Costa Rica,15.06,13.3,17.09
Africa,Eswatini,15.07,10.56,20.01
Americas,Colombia,15.09,13.05,17.33
Europe,Croatia,15.09,13.86,16.55
Europe,Ukraine,15.2,10.86,21.38
Europe,Croatia,15.22,14.07,16.61
Europe,Croatia,15.29,14.16,16.51
Americas,Mexico,15.31,13.25,17.48
Africa,United Republic of Tanzania,15.36,10.79,22.53
Americas,Nicaragua,15.46,10.52,21.08
Americas,Costa Rica,15.46,13.59,17.49
Europe,Cyprus,15.46,14.1,16.89
Europe,Belarus,15.48,13.25,17.71
Europe,Croatia,15.49,14.46,16.71
Europe,Slovakia,15.5,14.72,16.4
Europe,Italy,15.55,15.3,15.8
Europe,Greece,15.58,14.67,16.52
Europe,Latvia,15.64,14.09,17.49
Europe,Albania,15.65,14.01,17.67
Africa,Eswatini,15.71,10.89,21.09
Americas,Jamaica,15.79,13.47,18.42
Europe,Croatia,15.81,14.68,17.03
Americas,Cuba,15.86,11.75,21.7
Europe,Slovakia,15.89,15.15,16.69
Africa,United Republic of Tanzania,15.93,10.51,23.02
Americas,Venezuela (Bolivarian Republic of),15.93,11.15,22.15
Africa,Eswatini,15.94,11.03,21.65
Europe,Slovenia,15.94,14.54,17.67
Americas,Colombia,15.97,14.06,18.05
Africa,Mozambique,15.99,7.87,26.25
Americas,Nicaragua,16,10.98,21.96
Africa,Madagascar,16.02,11.16,23.84
Europe,Hungary,16.07,15.09,17.13
Africa,Zambia,16.1,7.68,30.09
Americas,Venezuela (Bolivarian Republic of),16.12,11.06,21.89
Africa,United Republic of Tanzania,16.12,11.45,23.12
Europe,Slovakia,16.13,15.31,17.02
Americas,Ecuador,16.14,12.46,19.36
Europe,Greece,16.16,15.35,17.03
Africa,Mozambique,16.17,8.37,25.97
Americas,Ecuador,16.19,12.58,20.27
Americas,Venezuela (Bolivarian Republic of),16.21,11.55,21.76
Africa,United Republic of Tanzania,16.27,10.74,24.61
Americas,Nicaragua,16.27,11.23,22.87
Europe,Slovakia,16.27,15.55,16.97
Europe,Albania,16.28,14.73,18.21
Europe,Cyprus,16.29,15.17,17.36
Africa,Seychelles,16.3,11.95,22.4
Africa,Eswatini,16.35,11.28,22.8
Europe,Albania,16.4,14.49,18.62
Africa,Mozambique,16.45,8.55,26.26
Europe,Bulgaria,16.52,15.59,17.53
Americas,Venezuela (Bolivarian Republic of),16.55,12.21,21.81
Americas,Ecuador,16.55,13.18,20.05
Americas,Mexico,16.58,14.95,18.54
Europe,Albania,16.58,14.98,18.62
Europe,Slovakia,16.64,15.54,17.78
Americas,Venezuela (Bolivarian Republic of),16.7,12.48,22.15
Europe,Albania,16.7,15.03,18.8
Western Pacific,Malaysia,16.71,15.55,18.06
Americas,Nicaragua,16.73,11.31,23.69
Africa,Madagascar,16.74,11.61,25.35
Africa,Zambia,16.9,7.65,31.61
Americas,Ecuador,16.91,13.57,19.95
South-East Asia,Bhutan,16.91,14.56,19.46
South-East Asia,Bhutan,16.91,14.56,19.46
Europe,Georgia,16.93,12.38,21.95
Africa,Seychelles,16.96,12.23,23.37
Africa,Lesotho,17.03,11.43,25.35
Africa,South Africa,17.04,15.5,19.06
Americas,Nicaragua,17.07,11.73,24.31
Europe,Belarus,17.19,14.84,19.86
Europe,Bulgaria,17.29,16.54,18.21
Africa,Zambia,17.29,7.52,31.86
Western Pacific,Cambodia,17.3,15.67,19.12
Americas,Ecuador,17.31,14.18,20.3
Africa,Lesotho,17.35,11.9,26.23
Europe,Poland,17.36,16.83,17.86
Western Pacific,Cambodia,17.43,15.88,19.31
Africa,Seychelles,17.44,12.44,24.14
Africa,Seychelles,17.44,12.44,24.14
Europe,Belarus,17.51,15.07,20.2
Africa,Mozambique,17.51,9.97,27.93
Africa,Lesotho,17.6,12.13,26.64
Americas,Jamaica,17.6,14.86,20.58
Western Pacific,Viet Nam,17.67,14.62,20.39
South-East Asia,Indonesia,17.74,14.5,22.34
Europe,Israel,17.79,15.33,21.1
Western Pacific,Cambodia,17.8,16.09,19.5
Americas,Mexico,17.83,16.33,19.65
Europe,Montenegro,17.89,16.27,20.27
Europe,Montenegro,17.93,16.41,20.12
Africa,Malawi,18.18,6.12,36.31
Europe,Montenegro,18.3,16.36,19.94
Western Pacific,Cambodia,18.35,16.26,20.28
Africa,Madagascar,18.43,12.98,26.54
Americas,Mexico,18.43,16.89,20.28
South-East Asia,Indonesia,18.45,15.19,23.23
Europe,Bulgaria,18.49,17.41,19.92
Africa,Mozambique,18.52,10.74,29.98
Africa,Malawi,18.54,6.11,36.9
Africa,Lesotho,18.55,13.07,28.16
Europe,Bulgaria,18.56,17.79,19.51
Africa,Malawi,18.57,6.2,37.49
Americas,Honduras,18.59,13.55,25.18
Eastern Mediterranean,Djibouti,18.62,7.44,38.12
Europe,Bulgaria,18.63,17.72,19.52
Europe,Georgia,18.64,13.59,23.72
Americas,Cuba,18.71,14.27,25.1
Europe,Israel,18.76,17.27,20.05
Americas,Chile,18.82,17.49,20.69
Europe,Poland,18.83,18.4,19.2
Africa,Zambia,18.85,7.91,39.73
Americas,Honduras,18.93,13.48,25.56
Americas,Mexico,19.04,17.41,21.01
Europe,Georgia,19.06,14.48,23.86
Americas,Honduras,19.08,13.28,25.85
Americas,Guatemala,19.19,14.28,25.07
Europe,Montenegro,19.3,17.34,22.2
South-East Asia,Indonesia,19.34,16.76,23.72
Americas,Honduras,19.42,13.38,26.19
Africa,Zambia,19.43,7.64,42.3
Europe,Israel,19.47,18.17,20.74
Europe,Poland,19.51,19.05,19.94
Americas,Chile,19.57,17.92,21.32
Europe,Israel,19.65,18.31,20.95
Europe,Montenegro,19.69,17.47,22.76
Americas,Honduras,19.75,13.39,26.91
Africa,South Africa,19.75,18.26,21.8
South-East Asia,Timor-Leste,19.79,8.46,39.31
Western Pacific,Cambodia,19.8,16.67,22.83
Eastern Mediterranean,Djibouti,19.81,7.57,41.6
Western Pacific,Philippines,19.82,15.74,24.79
Europe,Poland,19.9,19.46,20.31
South-East Asia,Indonesia,19.93,17.06,24.54
Eastern Mediterranean,Djibouti,19.98,7.7,41.73
Africa,South Sudan,20.11,10.41,34.78
Africa,South Sudan,20.18,10.45,34.95
Africa,Malawi,20.18,6.49,42.36
Europe,Poland,20.36,19.78,20.89
Africa,Lesotho,20.41,14.26,30.83
Americas,El Salvador,20.42,13.67,28.84
Europe,Israel,20.42,19.14,21.9
Americas,Guatemala,20.45,15.41,28.36
South-East Asia,Timor-Leste,20.45,8.74,43.88
South-East Asia,Timor-Leste,20.47,9.02,42.19
Americas,Chile,20.49,19.31,21.89
Western Pacific,Lao People's Democratic Republic,20.54,16.33,24.58
Africa,South Sudan,20.65,10.66,36.49
Eastern Mediterranean,Djibouti,20.72,7.82,42.63
Americas,Guatemala,20.75,16.18,26.65
Western Pacific,Malaysia,20.76,19.63,22.35
Africa,Malawi,20.82,6.64,44.58
Europe,Georgia,20.85,16.26,26.47
Africa,Ethiopia,20.87,12.02,30.6
Europe,Serbia,20.87,19.2,22.56
Africa,Madagascar,20.89,14.56,29.74
Western Pacific,Viet Nam,20.89,16.58,24.31
Western Pacific,Viet Nam,20.93,15.76,25.27
Eastern Mediterranean,Sudan,21,10.4,37.42
Eastern Mediterranean,Djibouti,21.04,7.87,43.38
Western Pacific,Lao People's Democratic Republic,21.15,16.86,25.13
South-East Asia,Indonesia,21.29,18.36,25.9
Africa,South Sudan,21.36,10.63,37.68
Eastern Mediterranean,Sudan,21.43,11.01,38.91
Western Pacific,Philippines,21.44,17.71,25.08
Americas,El Salvador,21.51,13.91,30.33
Western Pacific,Malaysia,21.52,20.55,22.8
Europe,Georgia,21.66,17,27.53
Africa,South Africa,21.69,19.46,24.04
Africa,Algeria,21.74,13.85,34.38
Europe,Serbia,21.74,20.2,23.14
South-East Asia,Timor-Leste,21.77,9.31,47.54
Americas,Guatemala,21.78,17.65,27.97
Africa,Ethiopia,21.8,13.02,32.47
Africa,South Sudan,21.87,10.34,38.96
Europe,Serbia,21.91,20.59,23.1
Western Pacific,Republic of Korea,21.95,21.23,22.72
Western Pacific,Viet Nam,22.12,17.55,25.82
Americas,El Salvador,22.15,14.49,31.82
Americas,Chile,22.16,20.78,23.69
Africa,Ethiopia,22.23,13.25,32.67
Eastern Mediterranean,Sudan,22.24,11.35,41.01
South-East Asia,Timor-Leste,22.26,9.33,48.69
Europe,Serbia,22.33,20.88,23.73
Africa,Algeria,22.38,14.2,35.42
Western Pacific,Philippines,22.45,19.16,25.91
Africa,Eritrea,22.48,9.09,49.22
Americas,Chile,22.63,21.25,24.23
Europe,Serbia,22.67,21.01,24.39
Africa,Algeria,22.68,14.54,35.29
Africa,Eritrea,22.74,9.19,50.66
Americas,El Salvador,22.76,14.78,32.78
Africa,Gabon,22.76,6.28,64.16
Eastern Mediterranean,Lebanon,22.79,16.52,31.01
Africa,Algeria,22.85,14.51,35.46
Africa,Ethiopia,22.94,14.05,33.41
South-East Asia,Sri Lanka,22.95,16.3,30.67
Europe,Türkiye,23.14,21.43,24.55
South-East Asia,Sri Lanka,23.15,16.27,31.64
Europe,North Macedonia,23.17,21.32,25.37
Europe,Türkiye,23.22,21.42,24.76
Africa,Congo,23.22,6.16,69.88
Europe,Türkiye,23.25,21.83,24.55
Western Pacific,Viet Nam,23.28,19.34,26.53
Europe,Türkiye,23.28,22.04,24.57
Western Pacific,Lao People's Democratic Republic,23.3,18.12,28.29
Americas,Guatemala,23.31,20.22,28.17
Europe,Türkiye,23.34,22.14,24.74
Africa,Angola,23.35,6.13,61.85
Europe,Azerbaijan,23.43,13.92,34.28
Eastern Mediterranean,Sudan,23.46,12.26,43.69
Africa,Ethiopia,23.5,14.45,34.56
Africa,Eritrea,23.55,9.44,55.07
Europe,Kazakhstan,23.7,16.65,31.03
Western Pacific,Malaysia,23.74,22.37,25.34
Africa,Algeria,23.75,14.8,36.27
Eastern Mediterranean,Lebanon,23.77,16.77,33.65
Africa,South Africa,23.78,20.58,26.65
Europe,North Macedonia,23.79,21.78,25.62
Americas,El Salvador,23.84,15.53,34.42
South-East Asia,Thailand,23.86,21.14,26.27
South-East Asia,Sri Lanka,23.88,17.38,31.79
Europe,Bosnia and Herzegovina,23.9,22.07,26.33
Western Pacific,Republic of Korea,24.04,23.39,24.75
Africa,Eritrea,24.04,9.35,57.77
Eastern Mediterranean,Syrian Arab Republic,24.07,19.49,30.01
South-East Asia,Thailand,24.13,22.43,25.94
Western Pacific,Lao People's Democratic Republic,24.19,18.7,29.17
Western Pacific,Philippines,24.2,21.54,26.9
Western Pacific,Republic of Korea,24.22,23.48,24.89
Eastern Mediterranean,Lebanon,24.23,18.05,32.45
Europe,Azerbaijan,24.25,14.67,35.24
Eastern Mediterranean,Lebanon,24.36,18.2,32.54
Western Pacific,Republic of Korea,24.38,23.65,25.14
Eastern Mediterranean,Sudan,24.42,12.56,46.47
Americas,Bolivia (Plurinational State of),24.55,15.19,35.26
Americas,Bolivia (Plurinational State of),24.55,15.83,37.39
Eastern Mediterranean,Lebanon,24.61,18.9,31.61
Africa,Eritrea,24.63,9.46,61.06
Europe,Azerbaijan,24.64,13.74,37.54
South-East Asia,Thailand,24.64,22.75,26.42
Eastern Mediterranean,Jordan,24.73,20.53,29.07
South-East Asia,Sri Lanka,24.79,18.76,31.82
Eastern Mediterranean,Tunisia,24.81,16.37,34.99
Western Pacific,Lao People's Democratic Republic,24.87,19.11,31.17
Eastern Mediterranean,Syrian Arab Republic,24.9,19.7,31.2
Western Pacific,Republic of Korea,25.05,24.2,26.1
Eastern Mediterranean,Syrian Arab Republic,25.14,20.69,30.41
Europe,North Macedonia,25.17,23.56,27.13
Americas,Bolivia (Plurinational State of),25.23,16.41,36.37
South-East Asia,Sri Lanka,25.26,19.37,32.05
Eastern Mediterranean,Syrian Arab Republic,25.31,20.1,31.31
Western Pacific,Malaysia,25.32,23.53,27.11
Eastern Mediterranean,Tunisia,25.35,16.44,36.63
Western Pacific,Philippines,25.39,23.12,27.87
Africa,Equatorial Guinea,25.44,6.07,71.96
Africa,Central African Republic,25.46,6.13,66.94
South-East Asia,Thailand,25.48,24.11,27.1
Africa,Equatorial Guinea,25.67,6.05,70.96
Eastern Mediterranean,Jordan,25.76,22.59,28.89
Eastern Mediterranean,Jordan,25.87,22.58,29.14
Europe,Turkmenistan,26.02,19.27,33.79
Americas,Peru,26.07,16.85,38.39
South-East Asia,Bhutan,26.1,23.46,28.81
Europe,Azerbaijan,26.18,13.79,42.67
Europe,Bosnia and Herzegovina,26.19,24.23,28.67
Eastern Mediterranean,Jordan,26.28,23.36,29.61
Africa,Gabon,26.29,6.59,82.24
Africa,Burundi,26.31,10.63,57.22
South-East Asia,Thailand,26.34,24.87,27.87
Europe,Turkmenistan,26.4,15.89,40.65
Europe,Turkmenistan,26.41,17.35,38.93
Europe,Turkmenistan,26.43,20.39,33.51
South-East Asia,Bhutan,26.44,23.69,29.23
Eastern Mediterranean,Jordan,26.47,20.28,35.18
Africa,Equatorial Guinea,26.47,5.85,71.32
Europe,Kazakhstan,26.5,19.01,34.73
Eastern Mediterranean,Tunisia,26.52,17.92,37.37
Eastern Mediterranean,Syrian Arab Republic,26.57,20.7,33.31
Africa,Central African Republic,26.66,6.09,70.16
Americas,Bolivia (Plurinational State of),26.89,18.87,36.62
South-East Asia,Myanmar,26.89,23.33,30.85
Africa,Equatorial Guinea,27.06,5.56,73.2
Europe,Azerbaijan,27.15,12.77,46.26
South-East Asia,Myanmar,27.16,23.48,30.97
Africa,Angola,27.16,5.85,89.91
Africa,Central African Republic,27.2,6.12,74.79
Africa,Cabo Verde,27.36,14.3,50.13
Eastern Mediterranean,Tunisia,27.39,19.12,38.46
Americas,Bolivia (Plurinational State of),27.43,19.68,36.77
Americas,Peru,27.54,19.12,39.69
South-East Asia,Myanmar,27.58,23.54,31.52
South-East Asia,Myanmar,27.75,23.64,31.83
South-East Asia,Myanmar,27.85,23.25,32.12
Africa,Burundi,27.98,10.88,61.2
Africa,Burundi,28,11.05,60.89
Eastern Mediterranean,Libya,28.11,11.26,48.51
Europe,Turkmenistan,28.13,17.6,44.05
Eastern Mediterranean,Libya,28.26,10.76,49.28
Europe,Bosnia and Herzegovina,28.31,25.81,31.6
Africa,Burundi,28.38,11.09,61.72
Eastern Mediterranean,Libya,28.4,10.45,50.63
Europe,Armenia,28.41,19.98,38.37
Africa,Angola,28.43,5.54,100.9
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",28.5,21.2,36.87
Europe,North Macedonia,28.67,26.93,30.52
Africa,Equatorial Guinea,28.68,5.19,77.57
Eastern Mediterranean,Tunisia,28.72,20.55,39.66
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",28.89,20.55,38.8
Africa,Sao Tome and Principe,29.01,15.83,49.86
Africa,Burundi,29.04,11.09,62.59
Americas,Peru,29.07,22.2,38.42
Africa,Democratic Republic of the Congo,29.13,6.87,85.49
Africa,Uganda,29.45,18.05,44.8
Africa,Congo,29.48,6.42,102.4
Africa,Gabon,29.56,6.41,99.12
Europe,Bosnia and Herzegovina,29.67,27.3,32.32
Eastern Mediterranean,Libya,29.84,14.82,51.18
Africa,Uganda,30.04,18.26,47.35
Eastern Mediterranean,Libya,30.21,14.98,52.28
Eastern Mediterranean,Iran (Islamic Republic of),30.69,26.55,34.67
Eastern Mediterranean,Iran (Islamic Republic of),30.79,26.94,35.36
Africa,Benin,30.8,20.55,45.63
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",30.82,21.73,41.92
Africa,Cabo Verde,31.08,16.56,56.39
Western Pacific,China,31.13,29.81,32.34
Africa,Benin,31.27,18.62,52.5
Africa,Uganda,31.31,19.79,46.69
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",31.34,21.85,43.41
Europe,Kazakhstan,31.38,22.98,43.74
Africa,Guinea-Bissau,31.47,16.41,56.35
Africa,Benin,31.51,20.62,47.27
Africa,Democratic Republic of the Congo,31.58,7.13,99.19
Eastern Mediterranean,Iran (Islamic Republic of),31.62,27.47,35.52
Africa,Sao Tome and Principe,31.73,16.49,54.26
Americas,Peru,31.74,26.02,38.88
Africa,Benin,31.78,22.36,45.17
Africa,Central African Republic,32.17,5.43,102
Africa,Uganda,32.29,20.65,48.38
Africa,Angola,32.32,5.47,129.2
Africa,Cabo Verde,32.35,17.07,58.14
Africa,Liberia,32.5,17.69,59.91
Europe,Bosnia and Herzegovina,32.53,30.12,34.64
Africa,Benin,32.61,23.25,45.85
Africa,Cabo Verde,32.63,17.32,58.43
Americas,Peru,32.7,27.32,39.22
Europe,North Macedonia,32.75,30.67,35.02
Africa,Gabon,32.87,5.97,116.6
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",32.93,22.6,47.69
Africa,Cabo Verde,33.14,17.79,58.96
Africa,Angola,33.19,5.47,135.9
Europe,Armenia,33.24,23.67,45.72
Africa,Liberia,33.41,17.86,59.53
Africa,Togo,33.66,18.54,58.25
Africa,Democratic Republic of the Congo,33.73,7.35,100.6
Africa,Sao Tome and Principe,33.75,17.16,58.34
Africa,Togo,33.87,19.62,57.58
Africa,Gabon,33.96,5.77,123.5
Eastern Mediterranean,Iran (Islamic Republic of),34.11,29.17,38.89
Europe,Armenia,34.13,24.44,47.1
Africa,Guinea,34.17,19.05,60.58
Eastern Mediterranean,Oman,34.4,20.46,56.78
Africa,Gambia,34.42,16.54,59.29
Eastern Mediterranean,Oman,34.45,21.84,55.84
Africa,Central African Republic,34.65,4.93,115
Africa,Mali,34.75,14.64,73.01
Africa,Guinea-Bissau,34.82,17.27,64.4
Africa,Guinea-Bissau,34.85,18.06,63.14
Eastern Mediterranean,Oman,34.88,22.13,56.89
Africa,Gambia,34.91,17.25,59.64
Africa,Guinea,35.01,18.64,62.4
Western Pacific,Mongolia,35.04,22.55,48.29
Africa,Mauritania,35.07,13.12,86.85
Africa,Rwanda,35.25,12.04,71.01
Europe,Kazakhstan,35.44,24.11,48.88
Africa,Rwanda,35.48,12.31,71.2
Africa,Senegal,35.53,18.07,56.57
Africa,Rwanda,35.66,12.05,72.86
Africa,Togo,35.66,21.71,56.78
South-East Asia,Nepal,35.68,30.01,44
Africa,Rwanda,35.72,12.12,72.12
Eastern Mediterranean,Oman,35.76,20.64,58.75
Africa,Liberia,35.8,18.19,64.65
Africa,Cote d'Ivoire,36.04,20.32,62.12
Africa,Cote d'Ivoire,36.04,20.79,63.06
Europe,Kyrgyzstan,36.19,24.45,52.76
Africa,Sao Tome and Principe,36.24,17.68,63.87
Europe,Armenia,36.24,26.16,50.5
Eastern Mediterranean,Iran (Islamic Republic of),36.41,30.14,41.95
South-East Asia,Nepal,36.43,31.71,42.97
Africa,Sao Tome and Principe,36.46,17.56,64.49
Africa,Congo,36.49,6.26,150.9
Africa,Mali,36.54,14.37,77.27
Africa,Sierra Leone,36.64,16.81,68.05
South-East Asia,Nepal,36.75,33.02,41.99
Eastern Mediterranean,Oman,36.91,20.71,61.95
South-East Asia,Nepal,36.92,32.36,42.95
Eastern Mediterranean,Iraq,36.96,29.03,47.7
South-East Asia,Nepal,37.14,31.7,44.01
Africa,Democratic Republic of the Congo,37.44,7.39,130.8
Africa,Guinea,37.57,21.99,72.05
Africa,Senegal,37.58,21.1,58.12
Europe,Kyrgyzstan,37.58,26.16,52.31
Africa,Congo,37.81,5.99,160.3
Africa,Togo,37.88,24.39,57.78
Western Pacific,Mongolia,37.9,28.4,50.32
Eastern Mediterranean,Iraq,37.97,30.6,48.05
