ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Western Pacific,Australia,8.08,7.3,8.68
Western Pacific,Solomon Islands,8.12,2.85,15.47
Western Pacific,New Zealand,8.17,7.38,9.05
Western Pacific,Papua New Guinea,8.18,2.99,19.86
Americas,United States of America,8.18,8.04,8.32
Western Pacific,Brunei Darussalam,8.19,6.82,9.87
Western Pacific,Solomon Islands,8.2,2.9,15.52
Western Pacific,Australia,8.2,7.42,8.8
Western Pacific,Vanuatu,8.23,2.97,17.74
Americas,Saint Vincent and the Grenadines,8.23,5.19,11.44
Western Pacific,Australia,8.24,7.47,8.88
Western Pacific,Brunei Darussalam,8.26,6.9,10.05
Western Pacific,Australia,8.26,7.45,8.91
Europe,Finland,8.27,7.81,8.83
Western Pacific,Papua New Guinea,8.28,3.01,20.13
Americas,Saint Lucia,8.29,5.84,11.99
Americas,Saint Lucia,8.29,5.84,11.99
Europe,Norway,8.32,7.85,8.76
Americas,Canada,8.33,8.12,8.54
Americas,Saint Lucia,8.34,5.86,12.03
Americas,Saint Lucia,8.37,5.85,12.07
Europe,Sweden,8.41,8.09,8.75
Western Pacific,Brunei Darussalam,8.42,7.04,10.27
Americas,Haiti,8.45,4.76,14.47
Europe,Iceland,8.49,7.64,9.44
Americas,Barbados,8.53,5.77,12.92
Western Pacific,New Zealand,8.54,7.5,9.54
Western Pacific,New Zealand,8.54,7.66,9.43
Americas,Canada,8.57,8.35,8.8
Western Pacific,Papua New Guinea,8.63,3.12,21.45
Americas,Haiti,8.63,4.72,15.71
Western Pacific,New Zealand,8.64,7.72,9.56
Western Pacific,Brunei Darussalam,8.69,6.98,10.97
Western Pacific,Vanuatu,8.7,3.37,18.16
Western Pacific,Vanuatu,8.7,3.37,18.16
Europe,Finland,8.74,8.15,9.43
Americas,Saint Vincent and the Grenadines,8.75,5.4,12.05
Western Pacific,New Zealand,8.79,8.02,9.57
Americas,Saint Vincent and the Grenadines,8.84,5.43,12.18
Americas,Saint Vincent and the Grenadines,8.84,5.43,12.18
Western Pacific,Papua New Guinea,8.88,3.07,21.72
Europe,Sweden,8.89,8.49,9.28
Americas,Uruguay,8.98,6.02,13.3
Eastern Mediterranean,Afghanistan,80.45,57.67,110.7
Europe,Tajikistan,83.68,59.35,114.1
Eastern Mediterranean,Afghanistan,89.57,64.75,122.9
Americas,Grenada,9.01,6.07,12.08
Western Pacific,Papua New Guinea,9.03,3.07,21.83
Americas,Barbados,9.04,6.23,13.29
Americas,Haiti,9.05,5.18,15.62
Americas,Barbados,9.07,6.22,13.3
Americas,Barbados,9.08,6.26,13.3
Americas,Barbados,9.09,6.3,13.34
Western Pacific,Brunei Darussalam,9.11,7.47,11.51
Americas,United States of America,9.15,9,9.28
Americas,Haiti,9.16,5.27,15.6
Americas,Uruguay,9.17,7.12,11.07
Americas,Uruguay,9.2,7.02,11.8
Americas,Trinidad and Tobago,9.21,6.67,11.51
Americas,Uruguay,9.23,7.12,11.56
Americas,Grenada,9.24,6.25,12.21
Europe,Russian Federation,9.24,7.14,11.66
Europe,Norway,9.34,8.79,9.82
Americas,Uruguay,9.35,6.79,12.78
Americas,Grenada,9.36,6.36,12.29
Americas,Grenada,9.36,6.36,12.29
Americas,United States of America,9.36,9.24,9.49
Americas,Trinidad and Tobago,9.44,7.06,11.69
Americas,Guyana,9.46,4.98,15.28
Americas,Trinidad and Tobago,9.56,7,11.89
Americas,Trinidad and Tobago,9.56,7.16,11.88
Americas,Trinidad and Tobago,9.56,7.25,11.93
Europe,Portugal,9.61,9.01,10.17
Europe,Ireland,9.64,8.81,10.42
